요양기관명,총 의사 수,의과일반의 인원수,의과인턴 인원수,의과레지던트 인원수,의과전문의 인원수,치과일반의 인원수,치과인턴 인원수,치과레지던트 인원수,치과전문의 인원수,한방일반의 인원수,한방인턴 인원수,한방레지던트 인원수,한방전문의 인원수,조산사 인원수
원광대학교병원,297,2,31,95,166,1,0,1,1,0,0,0,0,0
의료법인 길의료재단 길병원,526,4,83,114,310,1,4,1,9,0,0,0,0,0
이화여자대학교의과대학부속목동병원,386,0,38,121,208,0,2,11,6,0,0,0,0,0
인제대학교부산백병원,358,1,36,111,205,1,0,0,4,0,0,0,0,0
인하대학교의과대학부속병원,420,2,39,122,253,1,0,0,3,0,0,0,0,0
재단법인아산사회복지재단 서울아산병원,1716,16,131,447,1082,2,0,21,17,0,0,0,0,0
전남대학교병원,505,0,56,162,277,0,0,4,6,0,0,0,0,0
전북대학교병원,428,2,47,138,238,0,0,0,3,0,0,0,0,0
조선대학교병원,321,1,32,109,175,0,0,1,3,0,0,0,0,0
중앙대학교병원,395,0,43,133,207,6,0,0,6,0,0,0,0,0
충남대학교병원,490,1,60,158,268,0,0,0,3,0,0,0,0,0
충북대학교병원,354,3,33,105,209,0,0,0,4,0,0,0,0,0
칠곡경북대학교병원,222,0,0,18,202,0,0,0,2,0,0,0,0,0
학교법인 고려중앙학원 고려대학교의과대학부속병원(안암병원),563,2,38,161,337,0,4,12,9,0,0,0,0,0
학교법인 울산공업학원 울산대학교병원,378,1,29,95,233,4,1,5,8,0,0,0,0,2
학교법인가톨릭학원가톨릭대학교서울성모병원,889,2,58,229,568,0,5,15,12,0,0,0,0,0
학교법인성균관대학삼성창원병원,288,2,22,65,194,3,0,0,2,0,0,0,0,0
한림대학교성심병원,391,1,34,119,217,0,3,8,9,0,0,0,0,0
한양대학교병원,408,3,49,124,219,0,1,6,6,0,0,0,0,0
화순전남대학교병원,259,0,24,64,169,0,0,0,2,0,0,0,0,0
순천향대학교부속 천안병원,334,2,29,90,210,1,0,0,2,0,0,0,0,0
가톨릭대학교 성빈센트병원,375,0,32,90,247,0,0,0,6,0,0,0,0,0
고신대학교복음병원,282,2,15,81,178,3,0,0,3,0,0,0,0,0
학교법인 건양교육재단 건양대학교병원,298,0,27,96,172,0,0,0,3,0,0,0,0,0
(의)나사렛의료재단 나사렛국제병원,55,1,0,0,50,2,0,0,0,0,0,0,2,0
(의)성세의료재단 뉴성민병원,27,1,0,0,26,0,0,0,0,0,0,0,0,0
(의)영문의료재단 다보스병원,37,0,0,0,36,1,0,0,0,0,0,0,0,0
(재)미리내천주성삼성직수도회천주성삼병원,23,0,0,0,23,0,0,0,0,0,0,0,0,0
KS병원,36,0,0,0,35,0,0,0,1,0,0,0,0,0
가톨릭관동대학교 국제성모병원,188,0,19,31,132,1,0,0,3,0,0,0,2,0
가톨릭대학교 여의도성모병원,259,0,23,80,153,0,0,0,3,0,0,0,0,0
가톨릭대학교 은평성모병원,283,0,14,50,216,0,0,0,3,0,0,0,0,0
가톨릭대학교부천성모병원,256,1,23,70,155,0,0,0,7,0,0,0,0,0
가톨릭대학교의정부성모병원,268,0,30,67,168,0,0,0,3,0,0,0,0,0
강남베드로병원,29,0,0,0,29,0,0,0,0,0,0,0,0,0
강남병원,43,0,0,0,43,0,0,0,0,0,0,0,0,0
강남종합병원,19,0,0,0,19,0,0,0,0,0,0,0,0,0
강동경희대학교의대병원,297,1,23,79,193,0,0,0,1,0,0,0,0,0
강원대학교병원,271,3,26,76,165,0,0,0,1,0,0,0,0,0
강원특별자치도강릉의료원,20,1,0,0,17,2,0,0,0,0,0,0,0,0
강원특별자치도삼척의료원,28,1,0,0,25,1,0,0,1,0,0,0,0,0
강원특별자치도속초의료원,22,1,0,0,19,2,0,0,0,0,0,0,0,0
강원특별자치도영월의료원,22,0,0,0,20,1,0,0,1,0,0,0,0,0
강원특별자치도원주의료원,40,0,0,0,37,2,0,0,1,0,0,0,0,0
강일병원,35,0,0,0,34,0,0,0,1,0,0,0,0,0
건국대학교 충주병원,52,0,0,1,50,1,0,0,0,0,0,0,0,0
검단탑병원,53,0,0,0,49,2,0,0,2,0,0,0,0,0
경기도의료원 수원병원,30,0,0,0,27,1,0,0,2,0,0,0,0,0
경기도의료원 안성병원,29,0,0,0,28,0,0,0,1,0,0,0,0,0
경기도의료원 이천병원,26,0,0,0,25,0,0,0,1,0,0,0,0,0
경기도의료원의정부병원,19,0,0,0,16,1,0,0,1,0,0,0,1,0
경기도의료원파주병원,29,1,0,0,26,2,0,0,0,0,0,0,0,0
경기도의료원포천병원,21,0,0,0,20,0,0,0,1,0,0,0,0,0
경상남도마산의료원,21,1,0,0,20,0,0,0,0,0,0,0,0,0
경상북도김천의료원,41,1,0,0,38,2,0,0,0,0,0,0,0,0
경상북도안동의료원,26,0,0,0,24,2,0,0,0,0,0,0,0,0
경상북도포항의료원,22,1,0,0,19,2,0,0,0,0,0,0,0,0
경찰병원,116,0,15,32,66,0,0,0,3,0,0,0,0,0
계명대학교대구동산병원,40,0,0,0,39,0,0,0,1,0,0,0,0,0
곽병원,26,1,0,0,24,1,0,0,0,0,0,0,0,0
광명성애병원,97,2,5,23,64,2,0,0,1,0,0,0,0,0
광양사랑병원,19,0,0,0,19,0,0,0,0,0,0,0,0,0
광주기독병원,128,0,16,22,88,0,0,0,2,0,0,0,0,0
광주병원,36,1,0,0,34,1,0,0,0,0,0,0,0,0
광주보훈병원,70,1,4,6,53,0,0,0,5,1,0,0,0,0
광주센트럴병원,26,0,0,0,26,0,0,0,0,0,0,0,0,0
광주수완병원,19,0,0,0,19,0,0,0,0,0,0,0,0,0
광주씨티병원,24,1,0,0,23,0,0,0,0,0,0,0,0,0
광주일곡병원,18,1,0,0,17,0,0,0,0,0,0,0,0,0
광주한국병원,27,0,0,0,27,0,0,0,0,0,0,0,0,0
광주현대병원,37,1,0,0,36,0,0,0,0,0,0,0,0,0
광주희망병원,21,0,0,0,21,0,0,0,0,0,0,0,0,0
구로성심병원,36,1,0,0,35,0,0,0,0,0,0,0,0,0
구미강동병원,34,1,0,0,30,3,0,0,0,0,0,0,0,0
구포성심병원,31,0,0,0,30,0,0,0,1,0,0,0,0,0
국군수도병원,131,0,0,3,128,0,0,0,0,0,0,0,0,0
국립암센터,210,1,0,10,193,0,0,3,3,0,0,0,0,0
국립중앙의료원,236,1,27,75,123,0,0,0,4,0,0,3,3,0
국민건강보험공단일산병원,247,0,0,27,191,0,5,14,10,0,0,0,0,0
근로복지공단 대전병원,26,1,0,0,25,0,0,0,0,0,0,0,0,0
근로복지공단 동해병원,19,0,0,0,19,0,0,0,0,0,0,0,0,0
근로복지공단 순천병원,22,0,0,0,20,2,0,0,0,0,0,0,0,0
근로복지공단 창원병원,28,1,0,0,23,4,0,0,0,0,0,0,0,0
근로복지공단 태백병원,20,0,0,0,20,0,0,0,0,0,0,0,0,0
근로복지공단안산병원,39,0,0,0,38,0,0,0,1,0,0,0,0,0
근로복지공단인천병원,29,0,0,0,29,0,0,0,0,0,0,0,0,0
나사렛종합병원,32,0,0,0,32,0,0,0,0,0,0,0,0,0
나주종합병원,23,1,1,0,20,1,0,0,0,0,0,0,0,0
남양주 한양병원,28,0,0,0,27,0,0,0,1,0,0,0,0,0
노원을지대학교병원,226,1,39,59,124,1,0,0,2,0,0,0,0,0
녹색병원,38,1,0,0,37,0,0,0,0,0,0,0,0,0
뉴대성병원,16,0,0,0,15,0,0,0,1,0,0,0,0,0
당진종합병원,29,0,0,0,29,0,0,0,0,0,0,0,0,0
대구가톨릭대학교 칠곡가톨릭병원,26,0,0,0,25,0,0,0,1,0,0,0,0,0
대구굿모닝병원,23,0,0,0,23,0,0,0,0,0,0,0,0,0
대구의료원,47,1,1,4,40,1,0,0,0,0,0,0,0,0
대구파티마병원,207,1,18,51,134,1,0,0,2,0,0,0,0,0
대동병원,69,0,4,0,64,0,0,0,1,0,0,0,0,0
대림성모병원,42,0,0,0,41,1,0,0,0,0,0,0,0,0
대아의료재단한도병원,41,0,0,0,39,1,0,0,1,0,0,0,0,0
대자인병원,99,0,0,0,93,0,0,0,3,2,0,0,1,0
대전보훈병원,56,0,0,7,41,4,0,0,3,1,0,0,0,0
대전한국병원,37,1,0,0,35,1,0,0,0,0,0,0,0,0
대진의료재단 분당제생병원,193,3,14,42,129,2,0,0,3,0,0,0,0,0
대청병원,27,2,0,0,24,1,0,0,0,0,0,0,0,0
더블유병원,39,0,0,0,39,0,0,0,0,0,0,0,0,0
동국대학교의과대학경주병원,103,0,0,27,74,2,0,0,0,0,0,0,0,0
동국대학교일산불교병원,257,1,32,77,145,0,0,0,2,0,0,0,0,0
동남권원자력의학원,55,0,0,0,55,0,0,0,0,0,0,0,0,0
동래봉생병원,37,0,0,0,37,0,0,0,0,0,0,0,0,0
동아병원,30,0,0,0,30,0,0,0,0,0,0,0,0,0
드림종합병원,24,0,0,0,24,0,0,0,0,0,0,0,0,0
메디인병원,36,1,0,0,35,0,0,0,0,0,0,0,0,0
명주병원,47,0,0,0,46,0,0,0,1,0,0,0,0,0
명지성모병원,31,0,0,0,31,0,0,0,0,0,0,0,0,0
목포기독병원,37,1,0,0,35,1,0,0,0,0,0,0,0,0
목포시의료원,22,0,0,0,21,1,0,0,0,0,0,0,0,0
목포한국병원,79,0,0,0,76,2,0,0,1,0,0,0,0,0
미래로21병원,27,0,0,0,27,0,0,0,0,0,0,0,0,0
미즈메디병원,53,1,0,0,52,0,0,0,0,0,0,0,0,0
베데스다복음병원,19,2,0,0,16,1,0,0,0,0,0,0,0,0
부민병원,65,2,2,0,61,0,0,0,0,0,0,0,0,0
부산광역시의료원,77,0,9,11,55,1,0,0,1,0,0,0,0,0
부산성모병원(재단법인 천주교부산교구유지재단),80,0,1,14,63,0,0,0,2,0,0,0,0,0
부안성모병원,14,2,0,0,12,0,0,0,0,0,0,0,0,0
부천세종병원,90,0,6,12,71,1,0,0,0,0,0,0,0,0
부천우리병원,20,1,0,0,17,2,0,0,0,0,0,0,0,0
부평세림병원,51,0,4,4,41,2,0,0,0,0,0,0,0,0
비에스종합병원,21,1,0,0,18,1,0,0,1,0,0,0,0,0
비에이치에스한서병원,53,0,0,3,49,0,0,0,1,0,0,0,0,0
빛가람종합병원,21,2,0,0,19,0,0,0,0,0,0,0,0,0
빛고을전남대학교병원,26,0,0,0,26,0,0,0,0,0,0,0,0,0
삼육부산병원,55,0,2,4,46,3,0,0,0,0,0,0,0,0
삼육서울병원,113,0,10,18,84,1,0,0,0,0,0,0,0,0
삼일병원,35,0,0,0,35,0,0,0,0,0,0,0,0,0
상무병원,27,0,0,0,27,0,0,0,0,0,0,0,0,0
상주적십자병원,18,1,0,0,17,0,0,0,0,0,0,0,0,0
새통영병원,22,1,0,0,21,0,0,0,0,0,0,0,0,0
서광병원,21,0,0,0,21,0,0,0,0,0,0,0,0,0
서남대학교병원,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서산중앙병원,29,1,0,0,26,1,0,0,1,0,0,0,0,0
서울산보람병원,23,0,0,0,22,1,0,0,0,0,0,0,0,0
서울성심병원,44,0,0,12,31,1,0,0,0,0,0,0,0,0
서울적십자병원,43,1,4,5,31,1,0,0,1,0,0,0,0,0
서울특별시 동부병원,39,4,0,0,33,2,0,0,0,0,0,0,0,0
서울특별시보라매병원,271,1,0,13,246,0,1,3,7,0,0,0,0,0
서울특별시서남병원,40,0,0,0,39,0,0,0,1,0,0,0,0,0
서울특별시서울의료원,215,0,21,57,134,0,0,0,2,1,0,0,0,0
선한병원,22,0,0,0,21,0,0,0,1,0,0,0,0,0
성가롤로병원,100,1,5,7,85,0,0,0,1,0,0,0,0,1
성남시의료원,54,0,0,0,51,1,0,0,1,0,0,0,1,0
성남중앙병원,28,0,0,0,26,1,0,0,1,0,0,0,0,0
성심의료재단강동성심병원,256,1,21,88,144,0,0,0,2,0,0,0,0,0
성애의료재단 성애병원,69,0,5,10,52,2,0,0,0,0,0,0,0,0
세란병원,43,3,0,0,40,0,0,0,0,0,0,0,0,0
세종충남대학교병원,138,0,0,0,136,0,0,0,2,0,0,0,0,0
속초보광병원,21,1,0,0,20,0,0,0,0,0,0,0,0,0
순천의료재단 성남정병원,24,0,0,0,24,0,0,0,0,0,0,0,0,0
순천중앙병원,10,0,0,0,10,0,0,0,0,0,0,0,0,0
순천향대학교 부속 구미병원,93,2,0,16,73,1,0,0,1,0,0,0,0,0
순천향대학교 부속 서울병원,366,2,37,113,208,1,0,0,5,0,0,0,0,0
신가병원,24,0,0,0,24,0,0,0,0,0,0,0,0,0
씨엠병원,24,0,0,0,24,0,0,0,0,0,0,0,0,0
아산충무병원,54,0,0,0,53,0,0,0,1,0,0,0,0,0
안동성소병원,52,0,0,0,51,1,0,0,0,0,0,0,0,0
안성성모병원,36,0,0,0,36,0,0,0,0,0,0,0,0,0
에스포항병원,40,0,0,0,40,0,0,0,0,0,0,0,0,0
여수전남병원,53,2,0,6,42,2,0,0,0,0,0,0,0,1
여천전남병원,43,0,0,0,41,0,0,0,2,0,0,0,0,0
연세대학교 의과대학 용인세브란스병원,232,5,0,11,211,0,0,1,4,0,0,0,0,0
연세에스병원,21,1,0,0,20,0,0,0,0,0,0,0,0,0
영광종합병원,25,1,0,0,23,1,0,0,0,0,0,0,0,0
영남대학교의과대학부속영천병원,20,1,0,0,19,0,0,0,0,0,0,0,0,0
영도병원,35,0,2,1,31,0,0,0,1,0,0,0,0,0
영주적십자병원,20,1,0,0,19,0,0,0,0,0,0,0,0,0
오산한국병원,58,1,4,2,48,1,0,0,2,0,0,0,0,0
온누리병원,18,1,0,0,17,0,0,0,0,0,0,0,0,0
우리들병원,19,0,0,0,19,0,0,0,0,0,0,0,0,0
운암한국병원,22,1,0,0,21,0,0,0,0,0,0,0,0,0
울산병원,49,1,0,0,47,0,0,0,1,0,0,0,0,0
울산엘리야병원,18,0,0,0,18,0,0,0,0,0,0,0,0,0
웅상중앙병원,21,1,0,0,19,0,0,0,1,0,0,0,0,0
원광대학교 산본병원,77,0,6,14,54,1,0,0,0,0,0,0,2,0
의료법인 갈렌의료재단 박병원,25,0,0,0,25,0,0,0,0,0,0,0,0,0
의료법인 강릉동인병원,41,0,0,0,40,1,0,0,0,0,0,0,0,0
의료법인 거붕 백병원,36,0,0,0,35,1,0,0,0,0,0,0,0,0
의료법인 건명의료재단 중앙제일병원,22,1,0,0,21,0,0,0,0,0,0,0,0,0
의료법인 광혜의료재단 광혜병원,26,1,0,0,25,0,0,0,0,0,0,0,0,0
의료법인 근원의료재단 경산중앙병원,31,0,0,0,29,1,0,0,1,0,0,0,0,0
의료법인 남촌의료재단 시화병원,79,1,0,0,77,0,0,0,1,0,0,0,0,0
의료법인 녹산의료재단동수원병원,71,0,0,0,68,1,0,0,2,0,0,0,0,0
의료법인 대우의료재단대우병원,31,0,0,0,29,1,0,0,1,0,0,0,0,0
의료법인 동강의료재단 동강병원,88,0,0,0,84,3,0,0,1,0,0,0,0,0
의료법인 동강의료재단 동천동강병원,22,1,0,0,21,0,0,0,0,0,0,0,0,0
의료법인 동해동인병원,18,2,0,0,15,0,0,0,1,0,0,0,0,0
의료법인 록향의료재단 신천연합병원,27,0,0,0,26,0,0,0,1,0,0,0,0,0
의료법인 명인의료재단 화홍병원,48,0,0,0,48,0,0,0,0,0,0,0,0,0
의료법인 박애의료재단 박애병원,21,0,0,0,20,1,0,0,0,0,0,0,0,0
의료법인 백제병원,51,0,0,0,48,2,0,0,1,0,0,0,0,0
의료법인 서명의료재단 세명병원,37,0,0,0,37,0,0,0,0,0,0,0,0,0
의료법인 석경의료재단 센트럴병원,44,3,0,0,39,0,0,0,2,0,0,0,0,0
의료법인 성념의료재단맑은샘병원,15,1,0,0,13,0,0,0,1,0,0,0,0,0
의료법인 성수의료재단 인천백병원,24,1,0,0,23,0,0,0,0,0,0,0,0,0
의료법인 센텀의료재단 센텀종합병원,29,1,0,0,27,0,0,0,1,0,0,0,0,0
의료법인 송은의료재단 울산시티병원,47,2,0,0,43,1,0,0,1,0,0,0,0,0
의료법인 양진의료재단 평택성모병원,70,1,0,0,67,1,0,0,1,0,0,0,0,0
의료법인 영동의료재단 의정부백병원,22,1,0,0,20,0,0,0,1,0,0,0,0,0
의료법인 영서의료재단 천안충무병원,63,0,0,0,58,3,0,0,2,0,0,0,0,0
의료법인 영제 의료재단 엔케이세종병원,15,0,0,0,13,1,0,0,1,0,0,0,0,0
의료법인 영훈의료재단 대전선병원,89,0,10,12,64,1,0,0,2,0,0,0,0,0
의료법인 예당의료재단 예산종합병원,13,0,0,0,13,0,0,0,0,0,0,0,0,0
의료법인 오성의료재단 동군산병원,47,1,0,0,45,1,0,0,0,0,0,0,0,0
의료법인 온그룹의료재단 온종합병원,70,2,3,2,61,1,0,0,1,0,0,0,0,0
의료법인 우범의료재단 장흥종합병원,11,0,0,0,11,0,0,0,0,0,0,0,0,0
의료법인 원광의료재단 원광종합병원,21,1,0,0,20,0,0,0,0,0,0,0,0,0
의료법인 은성의료재단 좋은강안병원,90,0,6,1,82,0,0,0,1,0,0,0,0,0
의료법인 은성의료재단 좋은삼정병원,33,5,0,0,27,1,0,0,0,0,0,0,0,0
의료법인 은혜와감사의료재단 화성중앙종합병원,16,1,0,0,15,0,0,0,0,0,0,0,0,0
의료법인 인당의료재단 부민병원,65,1,2,4,57,1,0,0,0,0,0,0,0,0
의료법인 인당의료재단 해운대부민병원,48,0,0,0,48,0,0,0,0,0,0,0,0,0
의료법인 인산의료재단 전주열린병원,9,0,0,0,9,0,0,0,0,0,0,0,0,0
의료법인 인천사랑병원,64,0,0,5,59,0,0,0,0,0,0,0,0,0
의료법인 인화재단 한국병원,79,1,3,2,60,5,0,1,7,0,0,0,0,0
의료법인 자산의료재단 제천서울병원,25,0,0,0,23,1,0,0,1,0,0,0,0,0
의료법인 정산의료재단 효성병원,53,1,0,0,46,3,0,0,2,1,0,0,0,0
의료법인 정안의료재단 중앙병원,48,1,0,0,45,1,0,0,1,0,0,0,0,0
의료법인 중앙의료재단 중앙병원,24,0,0,0,23,0,0,0,1,0,0,0,0,0
의료법인 청구성심병원,23,1,0,0,22,0,0,0,0,0,0,0,0,0
의료법인 토마스의료재단 윌스기념병원,52,1,0,0,50,0,0,0,0,0,0,0,0,1
의료법인 플러스의료재단 단원병원,48,0,0,0,48,0,0,0,0,0,0,0,0,0
의료법인 행도의료재단 해동병원,29,1,0,0,28,0,0,0,0,0,0,0,0,0
의료법인 혜인의료재단 한국병원,36,2,0,0,34,0,0,0,0,0,0,0,0,0
의료법인 힐링의료재단 옥천성모병원,18,1,0,0,17,0,0,0,0,0,0,0,0,0
의료법인갑을의료재단 갑을장유병원,24,0,0,0,24,0,0,0,0,0,0,0,0,0
의료법인거명의료재단 영광기독병원,15,0,0,0,15,0,0,0,0,0,0,0,0,0
의료법인구의료재단 구병원,38,2,0,0,36,0,0,0,0,0,0,0,0,0
의료법인대송의료재단 무안병원,20,0,0,0,20,0,0,0,0,0,0,0,0,0
의료법인대인의료재단 다니엘종합병원,21,0,0,0,20,1,0,0,0,0,0,0,0,0
의료법인덕산의료재단김천제일병원,33,0,0,0,33,0,0,0,0,0,0,0,0,0
의료법인동신의료재단 동신병원,20,1,0,0,19,0,0,0,0,0,0,0,0,0
의료법인동춘의료재단문경제일병원,32,0,0,0,32,0,0,0,0,0,0,0,0,0
의료법인루가의료재단 나은병원,73,0,0,0,70,1,0,0,2,0,0,0,0,0
의료법인명지의료재단명지병원,243,0,22,55,162,1,0,0,3,0,0,0,0,0
의료법인명지의료재단명지병원,32,0,0,0,31,1,0,0,0,0,0,0,0,0
의료법인목포구암의료재단 목포중앙병원,38,0,0,0,37,1,0,0,0,0,0,0,0,0
의료법인백송의료재단 굿모닝병원,101,0,0,0,99,1,0,0,1,0,0,0,0,0
의료법인보원의료재단 경희대학교 교육협력 중앙병원,1,0,0,0,1,0,0,0,0,0,0,0,0,0
의료법인삼백의료재단상주성모병원,20,0,0,0,20,0,0,0,0,0,0,0,0,0
의료법인서울효천의료재단 에이치플러스양지병원,112,2,5,13,92,0,0,0,0,0,0,0,0,0
의료법인석영의료재단창원제일종합병원,16,0,0,0,16,0,0,0,0,0,0,0,0,0
의료법인석천재단고창병원,16,1,0,0,15,0,0,0,0,0,0,0,0,0
의료법인성광의료재단일산차병원,92,0,0,0,89,0,0,0,0,0,0,0,3,0
의료법인성화의료재단  대한병원,15,2,0,0,13,0,0,0,0,0,0,0,0,0
의료법인숭인의료재단 김해복음병원,39,1,0,0,37,1,0,0,0,0,0,0,0,0
의료법인안동병원,99,1,0,0,96,1,0,0,1,0,0,0,0,0
의료법인영경의료재단전주병원,41,0,0,0,41,0,0,0,0,0,0,0,0,0
의료법인영성의료재단 고흥종합병원,15,2,0,0,13,0,0,0,0,0,0,0,0,0
의료법인영훈의료재단 유성선병원,97,0,4,2,83,2,0,0,6,0,0,0,0,0
의료법인우리의료재단김포우리병원,99,4,3,9,80,2,0,0,1,0,0,0,0,0
의료법인은성의료재단좋은삼선병원,84,0,7,7,67,2,0,0,1,0,0,0,0,0
의료법인은성의료재단좋은선린병원,27,2,0,0,24,1,0,0,0,0,0,0,0,0
의료법인인봉의료재단뉴고려병원,61,0,0,0,60,1,0,0,0,0,0,0,0,0
의료법인일심의료재단우리병원,42,0,0,0,41,0,0,0,1,0,0,0,0,0
의료법인정화의료재단 봉생기념병원,69,0,4,7,57,0,0,0,1,0,0,0,0,0
의료법인청아의료재단청아병원,18,2,0,0,16,0,0,0,0,0,0,0,0,0
의료법인청언의료재단 순천제일병원,13,0,0,0,13,0,0,0,0,0,0,0,0,0
의료법인칠석의료재단사랑의병원,40,0,0,0,38,1,0,0,1,0,0,0,0,0
의료법인풍산의료재단동부제일병원,20,1,0,0,19,0,0,0,0,0,0,0,0,0
의료법인한국의료재단 순천한국병원,19,0,0,0,17,0,0,0,2,0,0,0,0,0
의료법인한마음의료재단 여수제일병원,49,0,0,0,47,2,0,0,0,0,0,0,0,0
의료법인한마음의료재단하나병원,73,2,3,7,56,3,0,0,2,0,0,0,0,0
의료법인한성재단포항세명기독병원,116,1,0,0,112,3,0,0,0,0,0,0,0,0
의료법인한전의료재단 한일병원,122,0,7,27,85,0,0,0,3,0,0,0,0,0
의료법인합포의료재단에스엠지연세병원,38,0,0,0,38,0,0,0,0,0,0,0,0,0
의료법인해민의료재단 세안종합병원,14,0,0,0,13,1,0,0,0,0,0,0,0,0
의료법인행촌의료재단 해남종합병원,25,0,0,0,23,1,0,0,0,0,0,0,0,1
의료법인현경의료재단 광양서울병원,18,2,0,0,15,1,0,0,0,0,0,0,0,0
의료법인환명의료재단 조은금강병원,32,0,0,0,31,1,0,0,0,0,0,0,0,0
의산의료재단 강릉고려병원,15,1,0,0,14,0,0,0,0,0,0,0,0,0
이화여자대학교의과대학부속서울병원,221,0,0,4,211,0,0,3,3,0,0,0,0,0
익산병원,43,0,0,0,41,1,0,0,1,0,0,0,0,0
인산의료재단 메트로병원,12,0,0,0,11,1,0,0,0,0,0,0,0,0
인제대학교 상계백병원,260,1,26,83,143,0,0,4,3,0,0,0,0,0
인제대학교 서울백병원,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인제대학교 해운대백병원,342,1,26,86,224,0,0,0,5,0,0,0,0,0
인제대학교일산백병원,285,0,24,92,165,0,0,0,4,0,0,0,0,0
인천광역시의료원,43,0,0,0,40,2,0,0,1,0,0,0,0,0
인천기독병원,22,1,0,0,21,0,0,0,0,0,0,0,0,0
인천세종병원,102,1,4,1,95,0,0,0,1,0,0,0,0,0
인천적십자병원,21,0,0,0,20,1,0,0,0,0,0,0,0,0
인천힘찬종합병원,42,0,0,0,41,1,0,0,0,0,0,0,0,0
재단법인 아산사회복지재단 부속 보령아산병원,16,0,0,0,16,0,0,0,0,0,0,0,0,0
재단법인 아산사회복지재단 정읍아산병원,27,0,0,0,27,0,0,0,0,0,0,0,0,0
재단법인베스티안재단베스티안병원,14,1,0,0,13,0,0,0,0,0,0,0,0,0
재단법인예수병원유지재단예수병원,227,1,18,58,146,3,0,0,1,0,0,0,0,0
재단법인천주교부산교구유지재단 메리놀병원,88,0,4,19,64,0,0,0,1,0,0,0,0,0
재단법인한호기독교선교회 일신기독병원,37,0,0,0,37,0,0,0,0,0,0,0,0,0
전라남도 순천의료원,19,1,0,0,18,0,0,0,0,0,0,0,0,0
전라북도 군산의료원,44,0,4,2,34,3,0,0,0,0,0,0,1,0
전라북도 남원의료원,34,0,0,0,31,3,0,0,0,0,0,0,0,0
전주고려병원,12,0,0,0,12,0,0,0,0,0,0,0,0,0
제일병원,64,0,0,0,64,0,0,0,0,0,0,0,0,0
제주대학교병원,240,0,20,56,159,1,0,0,4,0,0,0,0,0
제주특별자치도 서귀포의료원,45,1,0,0,43,1,0,0,0,0,0,0,0,0
제주한라병원,123,1,0,13,108,1,0,0,0,0,0,0,0,0
조은오산병원,18,0,0,0,18,0,0,0,0,0,0,0,0,0
좋은문화병원,73,1,2,0,69,0,0,0,1,0,0,0,0,0
중앙대학교광명병원,165,1,0,0,158,0,0,0,6,0,0,0,0,0
진주고려병원,35,2,0,0,31,2,0,0,0,0,0,0,0,0
차의과학대학교 강남차병원,117,0,0,12,102,0,0,0,3,0,0,0,0,0
차의과학대학교부속구미차병원,72,0,0,0,71,0,0,0,1,0,0,0,0,0
차의과학대학교분당차병원,499,4,41,136,311,1,0,0,4,0,0,0,2,0
참조은병원,65,0,0,0,62,2,0,0,1,0,0,0,0,0
창원경상국립대학교병원,181,0,8,30,140,0,0,0,3,0,0,0,0,0
